"episode","index","picard","riker","geordi","tasha","worf","beverly","pulaski","troi","data","wesley","tot_words","picard_prop","riker_prop","geordi_prop","tasha_prop","worf_prop","beverly_prop","pulaski_prop","troi_prop","data_prop","wesley_prop","released","episode_number","season"
"heart of glory",19,1089,365,323,298,745,38,0,0,327,0,3185,0.341915227629513,0.114599686028257,0.101412872841444,0.093563579277865,0.233908948194662,0.0119309262166405,0,0,0.102668759811617,0,1988-03-19,19,1
"hero worship",108,769,296,655,0,249,99,0,595,1272,0,3935,0.195425667090216,0.0752223634053367,0.166454891994917,0,0.0632782719186785,0.0251588310038119,0,0.151207115628971,0.323252858958069,0,1992-01-25,11,5
"hide and q",9,1259,875,320,164,105,99,0,89,339,50,3300,0.381515151515152,0.265151515151515,0.096969696969697,0.0496969696969697,0.0318181818181818,0.03,0,0.026969696969697,0.102727272727273,0.0151515151515152,1987-11-21,9,1
"hollow pursuits",67,506,534,1805,0,40,48,0,400,354,166,3853,0.131326239294057,0.138593303919024,0.468466130288087,0,0.0103815208928108,0.012457825071373,0,0.103815208928108,0.0918764599013756,0.0430833117051648,1990-04-28,21,3
"home soil",17,1339,490,283,160,67,196,0,215,545,29,3324,0.402827918170878,0.147412755716005,0.0851383874849579,0.0481347773766546,0.0201564380264741,0.0589651022864019,0,0.0646811070998797,0.16395908543923,0.00872442839951865,1988-02-20,17,1
"homeward",162,932,181,234,0,1012,327,0,80,371,0,3137,0.297099139305069,0.0576984379980873,0.074593560726809,0,0.322601211348422,0.104239719477208,0,0.0255020720433535,0.118265859101052,0,1994-01-15,13,7
"i borg",120,1392,214,1156,0,58,625,0,95,329,0,3869,0.359782889635565,0.0553114499870768,0.298785215818041,0,0.0149909537348152,0.161540449728612,0,0.024554148358749,0.0850348927371414,0,1992-05-09,23,5
"identity crisis",89,437,229,1052,0,146,743,0,0,427,0,3034,0.14403427818062,0.0754779169413316,0.346736980883322,0,0.048121292023731,0.244891232696111,0,0,0.140738299274885,0,1991-03-23,18,4
"imaginary friend",119,727,151,721,0,164,94,0,854,450,0,3161,0.22999050933249,0.0477696931350838,0.228092375830433,0,0.0518823157228725,0.0297374248655489,0,0.270167668459348,0.142360012654223,0,1992-05-02,22,5
"inheritance",159,179,249,508,0,18,242,0,182,1920,0,3298,0.0542753183747726,0.0755003032140691,0.154032747119466,0,0.00545785324439054,0.0733778047301395,0,0.055184960582171,0.582171012734991,0,1993-11-20,10,7
"interface",152,763,290,2527,0,23,538,0,140,1091,0,5372,0.142032762472077,0.0539836187639613,0.470402084884587,0,0.00428145941921072,0.100148920327625,0,0.0260610573343261,0.203090096798213,0,1993-10-02,3,7
"in theory",96,648,554,285,0,217,12,0,106,2005,0,3827,0.169323229683825,0.144760909328456,0.074470864907238,0,0.0567023778416514,0.00313561536451529,0,0.027697935719885,0.523909067154429,0,1991-06-01,25,4
"journey's end",169,1869,116,176,0,147,533,0,87,29,1157,4114,0.454302382109869,0.0281964025279533,0.0427807486631016,0,0.0357316480311133,0.129557608167234,0,0.021147301895965,0.00704910063198833,0.281234807972776,1994-03-26,20,7
"justice",7,1612,347,162,265,91,332,0,163,783,161,3916,0.411644535240041,0.0886108273748723,0.0413687436159346,0.0676710929519918,0.0232379979570991,0.0847803881511747,0,0.0416241062308478,0.199948927477017,0.0411133810010215,1987-11-07,7,1
"legacy",78,842,759,263,0,248,192,0,86,1003,0,3393,0.248157972295903,0.2236958443855,0.0775125257883879,0,0.0730916592985558,0.0565870910698497,0,0.0253463012083702,0.295608605953434,0,1990-10-27,6,4
"lessons",142,1664,581,261,0,110,236,0,78,148,0,3078,0.540610786224821,0.188758934372969,0.0847953216374269,0,0.0357374918778428,0.0766731643924626,0,0.0253411306042885,0.0480831708901884,0,1993-04-03,19,6
"liaisons",151,1775,202,8,0,314,27,0,484,47,0,2857,0.621281064053203,0.0707035351767588,0.00280014000700035,0,0.109905495274764,0.00945047252362618,0,0.169408470423521,0.0164508225411271,0,1993-09-25,2,7
"lonely among us",6,1297,826,367,392,168,512,0,434,703,265,4964,0.261281224818695,0.166398066075745,0.0739323126510878,0.0789685737308622,0.0338436744560838,0.103142626913779,0,0.0874294923448832,0.141619661563255,0.0533843674456084,1987-10-31,6,1
"loud as a whisper",30,1499,504,285,0,97,0,112,400,585,40,3522,0.425610448608745,0.143100511073254,0.0809199318568995,0,0.0275411697898921,0,0.0318001135718342,0.113571834185122,0.166098807495741,0.0113571834185122,1989-01-07,5,2
"lower decks",164,741,568,396,0,348,369,0,169,107,0,2698,0.274647887323944,0.210526315789474,0.146775389177168,0,0.128984432913269,0.136767976278725,0,0.0626389918458117,0.0396590066716086,0,1994-02-05,15,7
"manhunt",43,1466,487,74,0,68,0,273,1963,452,125,4908,0.298696006519967,0.0992257538712306,0.0150774246128769,0,0.0138549307253464,0,0.0556234718826406,0.399959250203749,0.0920945395273024,0.0254686226568867,1989-06-17,19,2
"man of the people",126,1003,488,36,0,142,798,0,903,73,0,3443,0.291315713040953,0.141736857391809,0.010455997676445,0,0.0412431019459773,0.231774615161197,0,0.262271275050828,0.0212024397327912,0,1992-10-03,3,6
"masks",166,1742,531,893,0,257,133,0,515,1332,0,5403,0.322413473995928,0.0982787340366463,0.165278548954285,0,0.0475661669442902,0.0246159540995743,0,0.0953174162502314,0.246529705719045,0,1994-02-19,17,7
"ménage à troi",70,871,617,230,0,121,108,0,478,230,374,3029,0.28755364806867,0.203697589963684,0.0759326510399472,0,0.0399471772862331,0.0356553317926709,0,0.157807857378673,0.0759326510399472,0.123473093430175,1990-05-26,24,3
"new ground",107,568,355,516,0,1405,68,0,429,424,0,3765,0.150863213811421,0.0942895086321381,0.137051792828685,0,0.373173970783533,0.0180610889774236,0,0.11394422310757,0.11261620185923,0,1992-01-04,10,5
