"country","dollar","year"
"South Korea",2.59,2009
"Sri Lanka",1.83,2009
"Sweden",4.93,2009
"Switzerland",5.98,2009
"Taiwan",2.26,2009
"Thailand",1.89,2009
"Turkey",3.65,2009
"UAE",2.72,2009
"Ukraine",1.83,2009
"United States",3.57,2009
"Uruguay",2.63,2009
"Argentina",3.56,2010
"Australia",3.84,2010
"Brazil",4.91,2010
"Britain",3.48,2010
"Canada",4,2010
"Chile",3.34,2010
"China",1.95,2010
"Colombia",4.39,2010
"Costa Rica",3.83,2010
"Czech Republic",3.43,2010
"Denmark",4.9,2010
"Egypt",2.28,2010
"Euro area",4.33,2010
"Hong Kong",1.9,2010
"Hungary",3.33,2010
"Indonesia",2.51,2010
"Israel",3.86,2010
"Japan",3.67,2010
"Latvia",2.8,2010
"Lithuania",2.71,2010
"Malaysia",2.19,2010
"Mexico",2.5,2010
"New Zealand",3.59,2010
"Norway",7.2,2010
"Pakistan",2.46,2010
"Peru",3.54,2010
"Philippines",2.19,2010
"Poland",2.6,2010
"Russia",2.33,2010
"Saudi Arabia",2.67,2010
"Singapore",3.08,2010
"South Africa",2.45,2010
"South Korea",2.82,2010
"Sri Lanka",1.86,2010
"Sweden",6.56,2010
"Switzerland",6.19,2010
"Taiwan",2.34,2010
"Thailand",2.17,2010
"Turkey",3.89,2010
"UAE",2.99,2010
"Ukraine",1.84,2010
"United States",3.73,2010
"Uruguay",3.74,2010
"Argentina",4.84,2011
"Australia",4.94,2011
"Brazil",6.16,2011
"Britain",3.89,2011
"Canada",5,2011
"Chile",4,2011
"China",2.27,2011
"Colombia",4.74,2011
"Costa Rica",4.07,2011
"Czech Republic",4.07,2011
"Denmark",5.48,2011
"Egypt",2.36,2011
"Euro area",4.93,2011
"Hong Kong",1.94,2011
"Hungary",4.04,2011
"India",1.89,2011
"Indonesia",2.64,2011
"Israel",4.67,2011
"Japan",4.08,2011
"Latvia",3.23,2011
"Lithuania",3.03,2011
"Malaysia",2.42,2011
"Mexico",2.74,2011
"New Zealand",4.41,2011
"Norway",8.31,2011
"Pakistan",2.38,2011
"Peru",3.65,2011
"Philippines",2.78,2011
"Poland",3.09,2011
"Russia",2.7,2011
"Saudi Arabia",2.67,2011
"Singapore",3.65,2011
"South Africa",2.87,2011
"South Korea",3.5,2011
"Sri Lanka",2.56,2011
"Sweden",7.64,2011
"Switzerland",8.06,2011
"Taiwan",2.6,2011
"Thailand",2.35,2011
"Turkey",3.77,2011
"UAE",3.27,2011
"Ukraine",2.06,2011
"United States",4.07,2011
"Uruguay",4.88,2011
"Venezuela",6.52,2011
"Austria",4.43,2011
"Belgium",5.38,2011
"Estonia",3.15,2011
"Finland",5.38,2011
"France",5.02,2011
"Germany",4.87,2011
"Greece",4.67,2011
"Ireland",5.45,2011
"Italy",5.02,2011
"Netherlands",4.66,2011
"Portugal",4.16,2011
"Spain",5.02,2011
"Argentina",4.16,2012
"Australia",4.68,2012
"Brazil",4.94,2012
"Britain",4.16,2012
"Canada",5.02,2012
"Chile",4.16,2012
"China",2.45,2012
"Colombia",4.77,2012
"Costa Rica",2.4,2012
"Czech Republic",3.34,2012
"Denmark",4.65,2012
"Egypt",2.64,2012
"Euro area",4.34,2012
"Hong Kong",2.13,2012
"Hungary",3.48,2012
"India",1.58,2012
"Indonesia",2.55,2012
"Israel",2.92,2012
"Japan",4.09,2012
"Latvia",2.94,2012
"Lithuania",2.74,2012
"Malaysia",2.33,2012
"Mexico",2.7,2012
"New Zealand",4,2012
"Norway",7.06,2012
"Pakistan",3.01,2012
"Philippines",2.8,2012
"Poland",2.63,2012
"Russia",2.29,2012
"Saudi Arabia",2.67,2012
"Singapore",3.5,2012
"South Africa",2.36,2012
"South Korea",3.21,2012
"Sri Lanka",2.21,2012
"Sweden",5.73,2012
"Switzerland",6.56,2012
"Taiwan",2.48,2012
"Thailand",2.59,2012
"Turkey",4.52,2012
"UAE",3.27,2012
"Ukraine",1.86,2012
"United States",4.33,2012
"Uruguay",4.53,2012
"Venezuela",7.92,2012
"Austria",3.87,2012
"Belgium",4.61,2012
"Estonia",2.47,2012
"Finland",4.55,2012
"France",4.36,2012
"Germany",4.41,2012
"Greece",3.25,2012
"Ireland",4.23,2012
"Italy",4.36,2012
"Netherlands",4.1,2012
"Portugal",6,2012
"Spain",4.24,2012
"Argentina",3.88,2013
"Australia",4.62,2013
"Brazil",5.28,2013
"Britain",4.02,2013
"Canada",5.26,2013
"Chile",3.94,2013
"China",2.61,2013
"Colombia",4.48,2013
"Costa Rica",4.31,2013
"Czech Republic",3.49,2013
"Denmark",4.91,2013
"Egypt",2.39,2013
"Euro area",4.66,2013
"Hong Kong",2.19,2013
"Hungary",3.76,2013
"India",1.5,2013
"Indonesia",2.8,2013
"Israel",4.8,2013
"Japan",3.2,2013
"Latvia",3.09,2013
"Lithuania",3.2,2013
"Malaysia",2.3,2013
"Mexico",2.86,2013
"New Zealand",4.3,2013
"Norway",7.51,2013
"Pakistan",3,2013
"Peru",3.59,2013
"Philippines",2.65,2013
"Poland",2.73,2013
"Russia",2.64,2013
"Saudi Arabia",2.67,2013
"Singapore",3.69,2013
"South Africa",2.24,2013
"South Korea",3.43,2013
"Sri Lanka",2.83,2013
"Sweden",6.16,2013
"Switzerland",6.72,2013
"Taiwan",2.63,2013
"Thailand",2.85,2013
"Turkey",4.34,2013
"UAE",3.27,2013
"Ukraine",2.33,2013
"United States",4.56,2013
"Uruguay",4.98,2013
"Venezuela",7.15,2013
"Austria",4.36,2013
"Belgium",4.76,2013
"Estonia",3.54,2013
"Finland",5.27,2013
"France",5.01,2013
"Germany",4.68,2013
"Greece",3.34,2013
"Ireland",4.45,2013
"Italy",4.82,2013
"Netherlands",4.44,2013
"Portugal",3.79,2013
"Spain",4.5,2013
"Argentina",2.57,2014
"Australia",4.81,2014
"Brazil",5.86,2014
"Britain",4.93,2014
"Canada",5.25,2014
"Chile",3.72,2014
"China",2.73,2014
"Colombia",4.65,2014
"Costa Rica",4,2014
"Czech Republic",3.46,2014
"Denmark",5.15,2014
"Egypt",2.37,2014
"Euro area",4.95,2014
"Hong Kong",2.43,2014
"Hungary",3.77,2014
"India",1.75,2014
"Indonesia",2.43,2014
"Israel",5.13,2014
"Japan",3.64,2014
"Lithuania",3.49,2014
"Malaysia",2.41,2014
"Mexico",3.25,2014
"New Zealand",4.94,2014
"Norway",7.76,2014
"Pakistan",3.04,2014
"Peru",3.59,2014
"Philippines",3.7,2014
"Poland",3,2014
"Russia",2.55,2014
"Saudi Arabia",2.93,2014
"Singapore",3.8,2014
"South Africa",2.33,2014
"South Korea",4,2014
"Sri Lanka",2.69,2014
"Sweden",5.95,2014
"Switzerland",6.83,2014
"Taiwan",2.63,2014
"Thailand",3.12,2014
"Turkey",4.42,2014
"UAE",3.54,2014
"Ukraine",1.63,2014
"United States",4.8,2014
"Uruguay",4.92,2014
"Venezuela",6.82,2014
"Vietnam",2.83,2014
"Austria",4.56,2014
"Belgium",4.98,2014
"Estonia",3.9,2014
"Finland",5.52,2014
"France",5.25,2014
"Germany",4.94,2014
"Greece",4.11,2014
"Ireland",4.7,2014
"Italy",5.18,2014
"Netherlands",4.64,2014
"Portugal",4.04,2014
"Spain",4.91,2014
"Argentina",3.07,2015
"Australia",3.92,2015
"Brazil",4.28,2015
"Britain",4.51,2015
"Canada",4.54,2015
"Chile",3.27,2015
"China",2.74,2015
"Colombia",2.92,2015
"Costa Rica",4.03,2015
"Czech Republic",2.83,2015
"Denmark",5.08,2015
"Egypt",2.16,2015
"Euro area",4.05,2015
"Hong Kong",2.48,2015
"Hungary",3.18,2015
"India",1.83,2015
"Indonesia",2.29,2015
"Israel",4.63,2015
"Japan",2.99,2015
"Latvia",2.68,2015
"Lithuania",2.84,2015
"Malaysia",2.01,2015
"Mexico",3.11,2015
"New Zealand",3.91,2015
"Norway",5.65,2015
"Pakistan",3.44,2015
"Peru",3.14,2015
"Philippines",3.61,2015
"Poland",2.54,2015
"Russia",1.88,2015
"Saudi Arabia",3.2,2015
"Singapore",3.44,2015
"South Africa",2.09,2015
"South Korea",3.76,2015
"Sri Lanka",2.61,2015
"Sweden",5.13,2015
"Switzerland",6.82,2015
"Taiwan",2.55,2015
"Thailand",3.17,2015
"Turkey",3.87,2015
"UAE",3.54,2015
"Ukraine",1.55,2015
"United States",4.79,2015
"Uruguay",4.13,2015
"Venezuela",0.67,2015
"Vietnam",2.75,2015
"Austria",3.71,2015
"Belgium",4.05,2015
"Estonia",3.23,2015
"Finland",4.49,2015
"France",4.49,2015
"Germany",3.93,2015
"Greece",3.34,2015
"Ireland",4.05,2015
"Italy",4.38,2015
"Netherlands",3.78,2015
"Portugal",3.29,2015
"Spain",4,2015
"Argentina",3.35,2016
"Australia",4.3,2016
"Brazil",4.78,2016
"Britain",3.94,2016
